id,molecule,type,x,y,z
116,1,1,6.60869559499567,-6.60869559499566,-9.12629391689877
117,1,1,7.23809517547145,-6.60869559499566,-9.12629391689877
118,1,1,7.86749475594722,-6.60869559499566,-9.12629391689877
119,1,1,8.496894336423,-6.60869559499566,-9.12629391689877
120,1,1,9.12629391689878,-6.60869559499566,-9.12629391689877
121,1,1,-9.12629391689877,-5.97929601451989,-9.12629391689877
122,1,1,-8.496894336423,-5.97929601451989,-9.12629391689877
123,1,1,-7.86749475594722,-5.97929601451989,-9.12629391689877
124,1,1,-7.23809517547144,-5.97929601451989,-9.12629391689877
125,1,1,-6.60869559499566,-5.97929601451989,-9.12629391689877
126,1,1,-5.97929601451989,-5.97929601451989,-9.12629391689877
127,1,1,-5.34989643404411,-5.97929601451989,-9.12629391689877
128,1,1,-4.72049685356833,-5.97929601451989,-9.12629391689877
129,1,1,-4.09109727309255,-5.97929601451989,-9.12629391689877
130,1,1,-3.46169769261677,-5.97929601451989,-9.12629391689877
131,1,1,-2.832298112141,-5.97929601451989,-9.12629391689877
132,1,1,-2.20289853166522,-5.97929601451989,-9.12629391689877
133,1,1,-1.57349895118944,-5.97929601451989,-9.12629391689877
134,1,1,-0.944099370713664,-5.97929601451989,-9.12629391689877
135,1,1,-0.314699790237887,-5.97929601451989,-9.12629391689877
136,1,1,0.314699790237891,-5.97929601451989,-9.12629391689877
137,1,1,0.944099370713669,-5.97929601451989,-9.12629391689877
138,1,1,1.57349895118945,-5.97929601451989,-9.12629391689877
139,1,1,2.20289853166522,-5.97929601451989,-9.12629391689877
140,1,1,2.832298112141,-5.97929601451989,-9.12629391689877
141,1,1,3.46169769261678,-5.97929601451989,-9.12629391689877
142,1,1,4.09109727309256,-5.97929601451989,-9.12629391689877
143,1,1,4.72049685356833,-5.97929601451989,-9.12629391689877
144,1,1,5.34989643404411,-5.97929601451989,-9.12629391689877
145,1,1,5.97929601451989,-5.97929601451989,-9.12629391689877
146,1,1,6.60869559499567,-5.97929601451989,-9.12629391689877
147,1,1,7.23809517547145,-5.97929601451989,-9.12629391689877
148,1,1,7.86749475594722,-5.97929601451989,-9.12629391689877
149,1,1,8.496894336423,-5.97929601451989,-9.12629391689877
150,1,1,9.12629391689878,-5.97929601451989,-9.12629391689877
151,1,1,-9.12629391689877,-5.34989643404411,-9.12629391689877
152,1,1,-8.496894336423,-5.34989643404411,-9.12629391689877
153,1,1,-7.86749475594722,-5.34989643404411,-9.12629391689877
154,1,1,-7.23809517547144,-5.34989643404411,-9.12629391689877
155,1,1,-6.60869559499566,-5.34989643404411,-9.12629391689877
156,1,1,-5.97929601451989,-5.34989643404411,-9.12629391689877
157,1,1,-5.34989643404411,-5.34989643404411,-9.12629391689877
158,1,1,-4.72049685356833,-5.34989643404411,-9.12629391689877
159,1,1,-4.09109727309255,-5.34989643404411,-9.12629391689877
160,1,1,-3.46169769261677,-5.34989643404411,-9.12629391689877
161,1,1,-2.832298112141,-5.34989643404411,-9.12629391689877
162,1,1,-2.20289853166522,-5.34989643404411,-9.12629391689877
163,1,1,-1.57349895118944,-5.34989643404411,-9.12629391689877
164,1,1,-0.944099370713664,-5.34989643404411,-9.12629391689877
165,1,1,-0.314699790237887,-5.34989643404411,-9.12629391689877
166,1,1,0.314699790237891,-5.34989643404411,-9.12629391689877
167,1,1,0.944099370713669,-5.34989643404411,-9.12629391689877
168,1,1,1.57349895118945,-5.34989643404411,-9.12629391689877
169,1,1,2.20289853166522,-5.34989643404411,-9.12629391689877
170,1,1,2.832298112141,-5.34989643404411,-9.12629391689877
171,1,1,3.46169769261678,-5.34989643404411,-9.12629391689877
172,1,1,4.09109727309256,-5.34989643404411,-9.12629391689877
173,1,1,4.72049685356833,-5.34989643404411,-9.12629391689877
174,1,1,5.34989643404411,-5.34989643404411,-9.12629391689877
175,1,1,5.97929601451989,-5.34989643404411,-9.12629391689877
176,1,1,6.60869559499567,-5.34989643404411,-9.12629391689877
177,1,1,7.23809517547145,-5.34989643404411,-9.12629391689877
178,1,1,7.86749475594722,-5.34989643404411,-9.12629391689877
